%time,field.x,field.y,field.z
108300000000,-6.7109985767,7.87420675241,0.0
108500000000,-6.73623866749,7.84580010148,0.0
108600000000,-6.76131477194,7.81463619631,0.0
108700000000,-6.78601478024,7.78066695154,0.0
108800000000,-6.81121744654,7.74218545454,0.0
108900000000,-6.83552294098,7.70079411559,0.0
109000000000,-6.85870473227,7.65649282269,0.0
109100000000,-6.88053434002,7.60929676115,0.0
109100000000,-6.89969280859,7.56311285614,0.0
109300000000,-6.91674676563,7.51824457615,0.0
109400000000,-6.93222695452,7.47492756157,0.0
109500000000,-6.94661902161,7.43334789821,0.0
109600000000,-6.96035690384,7.39365821956,0.0
109700000000,-6.97381793766,7.35599125036,0.0
109800000000,-6.98660591978,7.32020762962,0.0
109900000000,-6.99872085022,7.28630735734,0.0
110000000000,-7.01016272896,7.25429043352,0.0
110100000000,-7.02160460771,7.2222735097,0.0
110200000000,-7.03371953814,7.18837323743,0.0
110300000000,-7.04650752027,7.15258961669,0.0
110400000000,-7.05996855409,7.11492264749,0.0
110500000000,-7.0741026396,7.07537232983,0.0
110600000000,-7.0889097768,7.03393866371,0.0
110700000000,-7.10438996569,6.99062164914,0.0
110800000000,-7.12054320627,6.9454212861,0.0
110900000000,-7.13736949854,6.8983375746,0.0
111000000000,-7.1548688425,6.84937051464,0.0
111100000000,-7.17304123815,6.79852010623,0.0
111200000000,-7.1918866855,6.74578634935,0.0
111300000000,-7.21140518453,6.69116924401,0.0
111400000000,-7.23159673526,6.63466879022,0.0
111500000000,-7.25246133768,6.57628498796,0.0
111600000000,-7.27467204348,6.51413448878,0.0
111700000000,-7.29890190435,6.44633394423,0.0
111800000000,-7.32515092029,6.37288335429,0.0
111900000000,-7.35207298793,6.29754941589,0.0
112000000000,-7.37966810725,6.22033212904,0.0
112100000000,-7.40793627827,6.14123149372,0.0
112200000000,-7.43687750098,6.06024750995,0.0
112300000000,-7.46649177538,5.97738017771,0.0
112400000000,-7.49543299808,5.89639619393,0.0
112500000000,-7.52302811741,5.81917890708,0.0
112600000000,-7.55062323674,5.74196162022,0.0
112700000000,-7.57754530437,5.66662768183,0.0
112800000000,-7.60379432031,5.59317709189,0.0
112900000000,-7.62937028457,5.52160985041,0.0
112900000000,-7.65427319713,5.4519259574,0.0
113100000000,-7.678503058,5.38412541284,0.0
113200000000,-7.70205986718,5.31820821674,0.0
113300000000,-7.72494362467,5.25417436911,0.0
113400000000,-7.74715433047,5.19202386993,0.0
113500000000,-7.76869198458,5.13175671921,0.0
113600000000,-7.789556587,5.07337291696,0.0
113700000000,-7.80974813772,5.01687246316,0.0
113800000000,-7.82926663676,4.96225535782,0.0
113900000000,-7.8481120841,4.90952160095,0.0
114000000000,-7.86628447976,4.85867119253,0.0
114100000000,-7.88329328632,4.80953159038,0.0
114200000000,-7.89869970785,4.76196435191,0.0
114300000000,-7.91211348646,4.7158767121,0.0
114400000000,-7.92319185332,4.67123066202,0.0
114500000000,-7.93168977567,4.62805908206,0.0
114600000000,-7.93814701047,4.58655843004,0.0
114700000000,-7.9428603644,4.54885187497,0.0
114800000000,-7.9471964234,4.51110007247,0.0
114900000000,-7.95094642068,4.4752959174,0.0
115000000000,-7.95448808478,4.44148088205,0.0
115000000000,-7.95802974888,4.40766584671,0.0
115200000000,-7.96177974617,4.37186169164,0.0
115300000000,-7.96573807663,4.33406841684,0.0
115400000000,-7.96990474028,4.29428602232,0.0
115500000000,-7.97427973711,4.25251450807,0.0
115600000000,-7.97886306712,4.20875387409,0.0
115700000000,-7.98365473032,4.16300412039,0.0
115800000000,-7.9886547267,4.11526524696,0.0
115800000000,-7.9944880558,4.05956989463,0.0
116000000000,-8.00094638446,3.99790718311,0.0
116100000000,-8.00802971266,3.93027711242,0.0
116200000000,-8.01573804041,3.85667968255,0.0
116300000000,-8.02427970088,3.77512577378,0.0
116400000000,-8.03344636091,3.68760450583,0.0
116400000000,-8.04344635366,3.59212675897,0.0
116600000000,-8.05386301278,3.49267077266,0.0
116700000000,-8.0642796719,3.39321478635,0.0
116800000000,-8.07469633102,3.29375880004,0.0
116900000000,-8.08511299014,3.19430281373,0.0
117000000000,-8.09552964926,3.09484682742,0.0
117100000000,-8.10594630838,2.99539084111,0.0
117200000000,-8.1163629675,2.8959348548,0.0
117300000000,-8.12677962662,2.79647886849,0.0
117400000000,-8.13719628574,2.69702288219,0.0
117500000000,-8.14761294486,2.59756689588,0.0
117600000000,-8.15802960398,2.49811090957,0.0
117700000000,-8.16844626309,2.39865492326,0.0
117800000000,-8.17886292221,2.29919893695,0.0
117900000000,-8.18927958133,2.19974295064,0.0
118000000000,-8.19961273492,2.10108425695,0.0
118100000000,-8.20973755532,2.00441468299,0.0
118200000000,-8.21965404254,1.90973422876,0.0
118300000000,-8.22936219657,1.81704289425,0.0
118400000000,-8.23886201742,1.72634067947,0.0
118500000000,-8.2481535051,1.63762758442,0.0
118600000000,-8.25723665958,1.55090360909,0.0
118700000000,-8.26611148089,1.46616875349,0.0
118800000000,-8.27456963583,1.38541213734,0.0
118900000000,-8.28203138327,1.30656608241,0.0
119000000000,-8.28776624763,1.22958104492,0.0
119100000000,-8.29110064409,1.15445666085,0.0
119200000000,-8.29141948751,1.08125900901,0.0
119300000000,-8.28825125909,1.01013118857,0.0
119400000000,-8.28241003623,0.941179819896,0.0
119500000000,-8.27473173736,0.874421588435,0.0
119600000000,-8.26598811457,0.809812197347,0.0
119700000000,-8.2568868675,0.747272623692,0.0
119800000000,-8.24807364211,0.686712202256,0.0
119900000000,-8.23954843841,0.628130933041,0.0
120000000000,-8.23187767998,0.57144927568,0.0
120100000000,-8.22557053965,0.516612450355,0.0
120200000000,-8.22107992083,0.463603975669,0.0
120300000000,-8.21880166488,0.412456344145,0.0
120400000000,-8.21901596712,0.363258464615,0.0
120500000000,-8.22110880567,0.316106540822,0.0
120600000000,-8.22446647326,0.27103308329,0.0
120700000000,-8.2285364465,0.228026892592,0.0
120800000000,-8.23303627097,0.18506355124,0.0
120900000000,-8.23774442863,0.140111090162,0.0
121000000000,-8.24266091947,0.0931695093574,0.0
121100000000,-8.24736907713,0.0482170482791,0.0
121200000000,-8.25143905036,0.00521085758143,0.0
121300000000,-8.25449956836,-0.0358736524555,0.0
121400000000,-8.2564150415,-0.0790295104946,0.0
121500000000,-8.25751577892,-0.124214451378,0.0
121600000000,-8.25819333023,-0.171407934136,0.0
121700000000,-8.25889959235,-0.220601210806,0.0
121800000000,-8.25963456527,-0.271794281388,0.0
121900000000,-8.2603695382,-0.322987351969,0.0
122000000000,-8.26113322193,-0.376180216463,0.0
122100000000,-8.26195432727,-0.433372668779,0.0
122100000000,-8.26277543262,-0.490565121096,0.0
122300000000,-8.26362524877,-0.549757367325,0.0
122400000000,-8.26450377573,-0.610949407465,0.0
122500000000,-8.26543972431,-0.676141035429,0.0
122600000000,-8.26637567288,-0.741332663393,0.0
122700000000,-8.26728291065,-0.804524497445,0.0
122800000000,-8.26816143761,-0.865716537586,0.0
122900000000,-8.26901125376,-0.924908783814,0.0
123000000000,-8.26983235911,-0.982101236131,0.0
123100000000,-8.27062475365,-1.03729389454,0.0
123200000000,-8.27138843738,-1.09048675903,0.0
123300000000,-8.2721234103,-1.14167982961,0.0
123400000000,-8.27282967242,-1.19087310628,0.0
123500000000,-8.27350722373,-1.23806658904,0.0
123600000000,-8.27415606423,-1.28326027789,0.0
123700000000,-8.27474748312,-1.32445437891,0.0
123800000000,-8.27533890201,-1.36564847993,0.0
123900000000,-8.27590161009,-1.40484278704,0.0
124000000000,-8.27643560737,-1.44203730024,0.0
124100000000,-8.27694089383,-1.47723201953,0.0
124100000000,-8.27741746949,-1.5104269449,0.0
124300000000,-8.27786533435,-1.54162207637,0.0
124400000000,-8.27828448839,-1.57081741392,0.0
124500000000,-8.27867493163,-1.59801295756,0.0
124600000000,-8.27906537487,-1.6252085012,0.0
124700000000,-8.27948452891,-1.65440383875,0.0
124800000000,-8.27993239376,-1.68559897022,0.0
124900000000,-8.28040896942,-1.71879389559,0.0
125000000000,-8.28091425589,-1.75398861488,0.0
125100000000,-8.28144825316,-1.79118312808,0.0
125200000000,-8.28209709367,-1.83637681692,0.0
125300000000,-8.28283206659,-1.88756988751,0.0
125400000000,-8.28365317194,-1.94476233982,0.0
125500000000,-8.28458912051,-2.00995396779,0.0
125600000000,-8.28561120151,-2.08114497749,0.0
125700000000,-8.28671941493,-2.15833536892,0.0
125800000000,-8.28794247157,-2.243524936,0.0
125900000000,-8.28925166064,-2.33471388482,0.0
126000000000,-8.29064698213,-2.43190221537,0.0
126100000000,-8.29208252249,-2.53189191096,0.0
126100000000,-8.29351806285,-2.63188160655,0.0
126300000000,-8.29495360321,-2.73187130214,0.0
126400000000,-8.29638914357,-2.83186099773,0.0
126500000000,-8.29782468393,-2.93185069331,0.0
126600000000,-8.29926022429,-3.0318403889,0.0
126700000000,-8.30069576465,-3.13183008449,0.0
126800000000,-8.30213130501,-3.23181978008,0.0
126800000000,-8.30356684537,-3.33180947567,0.0
127000000000,-8.30500238574,-3.43179917126,0.0
127100000000,-8.3064379261,-3.53178886684,0.0
127200000000,-8.30787346646,-3.63177856243,0.0
127300000000,-8.30930900682,-3.73176825802,0.0
127400000000,-8.31074454718,-3.83175795361,0.0
127500000000,-8.31218008754,-3.9317476492,0.0
127600000000,-8.3136156279,-4.03173734479,0.0
127700000000,-8.31505116826,-4.13172704038,0.0
127800000000,-8.31648670862,-4.23171673596,0.0
127900000000,-8.31792224898,-4.33170643155,0.0
128000000000,-8.31935778934,-4.43169612714,0.0
128100000000,-8.3207933297,-4.53168582273,0.0
128100000000,-8.32222887006,-4.63167551832,0.0
128200000000,-8.32366441042,-4.73166521391,0.0
128400000000,-8.32509995078,-4.83165490949,0.0
128500000000,-8.32653549114,-4.93164460508,0.0
128600000000,-8.3279710315,-5.03163430067,0.0
128700000000,-8.32940657186,-5.13162399626,0.0
128800000000,-8.33084211222,-5.23161369185,0.0
128900000000,-8.33227765258,-5.33160338744,0.0
129000000000,-8.33371319294,-5.43159308303,0.0
129100000000,-8.33414878123,-5.53159213434,0.0
129200000000,-8.33258443471,-5.63157989769,0.0
129300000000,-8.32802160912,-5.73147574656,0.0
129400000000,-8.31953623783,-5.83031050956,0.0
129500000000,-8.30650115758,-5.92663083556,0.0
129500000000,-8.28914112655,-6.02023294267,0.0
129600000000,-8.26768971843,-6.11092896704,0.0
129800000000,-8.24294317163,-6.19662583629,0.0
129900000000,-8.21468796399,-6.27911944109,0.0
130000000000,-8.1831764176,-6.35827612528,0.0
130100000000,-8.14866531614,-6.43397915493,0.0
130200000000,-8.11141485828,-6.50612882454,0.0
130300000000,-8.07168761184,-6.57464250159,0.0
130400000000,-8.02974747231,-6.63945460974,0.0
130500000000,-7.98585862912,-6.70051655144,0.0
